dart-format v1.0.0
Load file 'test.dartx'
Intent 0:76 "v"
Intent 1:7b "{"
Intent 1:76 "v"
Intent 2:28 "("
Intent 2:27 "'"
Intent 1:7d "}"
Intent 0:40 "@"
Intent 0:57 "W"
Intent 1:7b "{"
Intent 1:72 "r"
Intent 2:28 "("
Intent 2:61 "a"
Intent 3:28 "("
Intent 3:74 "t"
Intent 3:63 "c"
Intent 3:29 ")"
Intent 2:62 "b"
Intent 3:28 "("
Intent 3:63 "c"
Intent 5:5b "["
Intent 5:43 "C"
Intent 6:28 "("
Intent 6:6c "l"
Intent 6:63 "c"
Intent 7:28 "("
Intent 7:66 "f"
Intent 7:64 "d"
Intent 7:29 ")"
Intent 6:29 ")"
Intent 5:54 "T"
Intent 5:5d "]"
Intent 4:29 ")"
Intent 3:29 ")"
Intent 2:29 ")"
Intent 1:7d "}"
The file 'test.dartx' OK
